iter	Passed	Remaining
831	1593	321
832	1594	319
833	1596	317
834	1598	315
835	1599	313
836	1600	311
837	1602	309
838	1603	307
839	1606	306
840	1608	304
841	1609	302
842	1611	300
843	1613	298
844	1631	299
845	1633	297
846	1635	295
847	1638	293
848	1639	291
849	1641	289
850	1642	287
851	1644	285
852	1645	283
853	1646	281
854	1647	279
855	1649	277
856	1650	275
857	1653	273
858	1654	271
859	1656	269
860	1657	267
861	1658	265
862	1659	263
863	1661	261
864	1662	259
865	1663	257
866	1664	255
867	1666	253
868	1669	251
869	1670	249
870	1672	247
871	1673	245
872	1674	243
873	1675	241
874	1677	239
875	1678	237
876	1679	235
877	1680	233
878	1684	231
879	1685	229
880	1686	227
881	1687	225
882	1689	223
883	1690	221
884	1691	219
885	1692	217
886	1694	215
887	1695	213
888	1696	211
889	1700	210
890	1701	208
891	1702	206
892	1703	204
893	1705	202
894	1706	200
895	1707	198
896	1708	196
897	1710	194
898	1711	192
899	1712	190
900	1714	188
901	1716	186
902	1718	184
903	1719	182
904	1722	180
905	1723	178
906	1725	176
907	1726	174
908	1729	173
909	1731	171
910	1733	169
911	1734	167
912	1736	165
913	1738	163
914	1739	161
915	1761	161
916	1763	159
917	1765	157
918	1768	155
919	1770	153
920	1771	151
921	1775	150
922	1777	148
923	1779	146
924	1780	144
925	1783	142
926	1784	140
927	1787	138
928	1793	137
929	1795	135
930	1796	133
931	1798	131
932	1801	129
933	1803	127
934	1808	125
935	1811	123
936	1812	121
937	1814	119
938	1815	117
939	1819	116
940	1825	114
941	1827	112
942	1829	110
943	1831	108
944	1834	106
945	1835	104
946	1838	102
947	1840	100
948	1841	98
949	1843	97
950	1846	95
951	1848	93
952	1852	91
953	1854	89
954	1856	87
955	1857	85
956	1859	83
957	1860	81
958	1861	79
959	1866	77
960	1868	75
961	1870	73
962	1871	71
963	1872	69
964	1874	67
965	1875	66
966	1877	64
967	1881	62
968	1883	60
969	1884	58
970	1886	56
971	1887	54
972	1889	52
973	1891	50
974	1892	48
975	1897	46
976	1898	44
977	1900	42
978	1901	40
979	1903	38
980	1905	36
981	1907	34
982	1910	33
983	1912	31
984	1914	29
985	1915	27
986	1916	25
987	1918	23
988	1919	21
989	1920	19
990	1922	17
991	1926	15
992	1927	13
993	1928	11
994	1930	9
995	1931	7
996	1933	5
997	1934	3
998	1935	1
999	1936	0
